a1,a4,a6,a9,a31,Class
22.16,3,0,101.0,0.0,0
0.0,1,0,1.995,0.0,0
104.97,3,0,101.0,0.0,0
22344.75,32,0,0.01,0.0,0
1.77,3,0,525.429624,0.0,0
0.0,1,0,0.862155,0.0,0
22.99,3,0,101.0,0.0,0
11056.2,17,0,0.01,0.0,0
195.52,4400,0,0.094848,0.0,0
19899.33,2,0,0.001028,0.0,0
35647.27,18,0,1.770352,0.0,0
6.44,3,0,1.99,0.0,0
15.47,3,0,101.0,0.0,0
0.0,1,0,0.8641,0.0,0
0.0,0,1,0.0,0.0,0
25626.59,3,0,0.001,0.0,0
51880.05,14,0,0.095,0.0,0
11174.49,50,0,0.009,0.0,0
0.0,1,0,0.01287,0.0,0
992.54,135,0,0.038873,0.0,0
15.46,3,0,101.0,0.0,0
21648.06,27,0,0.0,0.0,0
26.03,3,0,35.483933,0.0,0
23.23,3,0,101.0,0.0,0
733.09,104,0,0.052,0.0,0
1.04,3,0,512.412314,0.0,0
23.4,4,0,5.173827,0.0,0
451.89,2644,5,0.0,0.0,0
408.01,5,1,0.10001,0.0,0
1270.97,105,0,0.001113,0.0,0
2988.42,13,0,0.006,0.0,0
21.15,3,0,101.0,0.0,0
46.58,700,0,0.200001,0.0,0
1.56,3,0,524.165132,0.0,0
0.0,0,1,0.0,0.0,0
161.31,2,0,101.0,0.0,0
0.0,1,0,0.3,0.0,0
161.0,2,0,101.0,0.0,0
21.13,3,0,101.0,0.0,0
21949.99,5,0,2.422558,0.0,0
1.38,2,0,1.614981,0.0,0
2279.81,96,0,1.0,0.0,0
0.8,6,0,0.726437,0.0,0
75078.84,16,0,6.04,0.0,0
306.54,6,0,0.018437,0.0,0
216.89,1096,0,0.0,0.0,0
9110.48,57,0,0.504,0.0,0
11.19,3,0,0.589559,0.0,0
0.0,1,0,4.995,0.0,0
19.27,3,0,101.0,0.0,0
0.0,0,1,0.0,0.0,0
63.0,633,0,0.095001,0.0,0
158.28,2,0,31.594728,0.0,0
156.47,2,0,101.0,0.0,0
5.48,22,0,0.003,0.0,0
17339.13,7,0,0.015,0.0,0
0.0,0,1,0.0,0.0,0
21801.85,17,0,0.04968,0.0,0
1876.99,2,0,0.021395,0.0,0
0.0,1,0,0.418267,0.0,0
15.22,8713,0,0.09958,0.0,0
90455.19,6,0,3.5e-05,0.0,0
19106.22,17,0,0.011708,0.0,0
37174.25,6,0,0.177487,0.0,0
4140.01,5,0,1.0,0.0,0
36979.34,8,0,0.272182,0.0,0
0.0,0,1,0.0,0.0,0
463.89,251,0,0.019449,0.0,0
7121.67,40,1,0.000995,0.0,0
34.08,12,0,1.0,0.0,0
58.04,287,0,0.037204,0.0,0
9725.29,57,0,1.95,0.0,0
0.0,1,0,10.0,0.0,0
2.55,25,0,0.09,0.0,0
161.06,2,0,47.396945,0.0,0
1752.5,12,0,0.209934,0.0,0
26034.83,5,0,0.161563,0.0,0
0.0,0,1,0.0,0.0,0
10888.14,48,0,0.009,0.0,0
35.95,8,0,0.1,0.0,0
0.0,0,1,0.0,0.0,0
0.0,0,1,1.000053,0.0,0
56099.5,7,0,0.034397,0.0,0
1.96,4,0,0.1,0.0,0
0.0,0,1,1.018974,0.0,0
0.0,0,1,0.0,0.0,0
77.53,4,0,101.0,0.0,0
46.07,7,0,48.302256,0.0,0
9.32,23,0,0.108614,0.0,0
18.54,3,0,101.0,0.0,0
27123.04,35,0,0.249886,0.0,0
0.0,0,1,0.0,0.0,0
15024.23,33,0,0.009139,0.0,0
21.46,3,0,101.0,0.0,0
0.0,1,0,5.0,0.0,0
0.0,0,0,0.25,0.0,0
43.16,174,0,0.523199,0.0,0
200.48,918,0,0.001,0.0,0
157.1,2,0,101.0,0.0,0
29.98,10000,0,1.0,0.0,0
28669.34,8,0,0.5,0.0,0
1.88,3,0,137.50266,0.0,0
0.0,0,1,0.0,0.0,0
105.03,3,0,101.0,0.0,0
14.99,4,0,101.0,0.0,0
58250.62,2,0,0.424283,0.0,0
1473.93,55,0,0.0,0.0,0
0.0,1,0,0.216697,0.0,0
107.53,3,0,101.0,0.0,0
0.0,1,0,22.0,0.0,0
2.66,8,0,0.066604,0.0,0
49569.04,4,0,0.99,0.0,0
22.77,3,0,101.0,0.0,0
19.32,5,0,0.04,0.0,0
1073.45,8,0,0.002,0.0,0
443.88,72,0,1e-06,0.0,0
108.58,3,0,1.273115,0.0,0
20.64,208,0,0.09,0.0,0
11375.19,40,0,0.013635,0.0,0
0.0,1,0,0.008434,0.0,0
164.72,2,0,101.0,0.0,0
23.21,3,0,16.600597,0.0,0
631.96,5,0,0.099073,0.0,0
4.33,143,0,0.016989,0.0,0
24.06,3,0,17.048517,0.0,0
8513.11,10,0,0.095,0.0,0
0.0,1,0,3.52,0.0,0
